id,age,salary,experience,performance_score,missing_column,name_Emma Johnson,name_James Wilson,name_Jennifer Martin,name_Jessica Garcia,name_John Smith,name_Lisa Anderson,name_Michael Brown,name_Robert Taylor,name_Sarah Davis,name_William Thompson,department_Engineering,department_Marketing,department_Sales,education_level_Bachelors,education_level_Masters,education_level_PhD
-1.5666989036012806,-0.08518354199999169,-0.1644759135120404,-0.17149858514250899,0.4431932644366653,0.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
-1.2185435916898848,-1.4268243284998656,-1.2964572006243176,-1.0289915108550531,-0.784111160157175,-0.4428074427700477,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
-0.8703882797784892,1.2564572444998823,1.5770337589683858,1.3291140348544432,1.363671582882044,1.7712297710801908,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
-0.5222329678670935,0.0,-0.7740042988801896,-0.600245047998781,-0.4772850540087149,-1.5498260496951668,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
-0.17407765595569785,0.6814683359999363,0.4450524718561088,0.6859943405700352,0.13636715828820387,0.6642111641550715,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0.17407765595569785,-0.8518354199999196,-0.5998533316321469,-0.8146182794269171,-0.17045894786025484,0.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
0.5222329678670935,1.8314461529998283,1.83826020984045,1.9722337291388514,1.9773237951789642,1.328422328310143,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
0.8703882797784892,-0.46850948099995565,0.0,-0.385871816570645,-1.0909372663056336,-0.8856148855400954,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
1.2185435916898848,0.2981423969999723,0.09675053736002354,0.25724787771376306,0.0,0.22140372138502384,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
1.5666989036012806,-1.2351613589998836,-1.1223062333762748,-1.243364742283189,-1.3977633724540937,-1.107018606925119,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
